"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/ARG","AR","Argentina","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1983","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",3727.04801015838,"Nominal GDP Per Capita"
"country/ARG","AR","Argentina","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1984","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",3787.47067903083,"Nominal GDP Per Capita"
"country/ARG","AR","Argentina","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1985","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2919.28351130562,"Nominal GDP Per Capita"
"country/ARG","AR","Argentina","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1986","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",3454.2963342861,"Nominal GDP Per Capita"
"country/ARG","AR","Argentina","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1987","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",3492.69147434324,"Nominal GDP Per Capita"
"country/ARG","AR","Argentina","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1988","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",4005.20125846019,"Nominal GDP Per Capita"
"country/ARG","AR","Argentina","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1989","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2382.33586178721,"Nominal GDP Per Capita"
"country/ARG","AR","Argentina","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1990","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",4330.96819128783,"Nominal GDP Per Capita"
"country/ARG","AR","Argentina","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1991","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",5730.72380988423,"Nominal GDP Per Capita"
"country/ARG","AR","Argentina","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1992","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",6815.32932969825,"Nominal GDP Per Capita"
"country/ARG","AR","Argentina","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1993","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",6957.41749889251,"Nominal GDP Per Capita"
