Years,Total fertility rates (children/woman),Crude birth rates,Age 0-14,Age 15-29,Age 30-44,Age 45-59,Age 60-74,Age 75+
1869,6.8,49.1,45.3%,29.7%,16.0%,7.0%,1.8%,0.2%
1895,7.0,44.5,40.3%,27.7%,19.5%,8.9%,2.9%,0.7%
1914,5.2,36.5,38.4%,30.8%,17.9%,8.9%,3.3%,0.7%
1947,3.2,24.7,30.8%,27.5%,21.5%,13.6%,5.5%,1.1%
1960,3.1,22.9,30.8%,23.8%,21.2%,15.3%,7.3%,1.6%
1970,3.1,22.7,29.3%,24.6%,19.9%,15.4%,8.6%,2.2%
1980,3.4,24.8,30.4%,23.9%,18.8%,15.1%,9.0%,2.8%
1991,2.9,21.1,30.6%,23.3%,19.3%,13.9%,9.6%,3.3%
2001,2.6,18.4,28.3%,25.0%,18.6%,14.7%,9.3%,4.1%
2010,2.4,18.5,25.5%,24.8%,20.2%,15.2%,9.8%,4.5%
2022,1.4,10.1,22.0%,23.3%,22.1%,16.4%,11.2%,5.0%
