Year,Population,Births,Deaths,Natural Change,Crude Birth Rate (per 1000),Crude Death Rate (per 1000),Natural Change (per 1000),Total Fertility Rate,Infant Mortality Rate
1911,7070000,268000,129000,139000,37.9,18.2,19.7,5.24,148.0
1912,7470000,288000,127000,161000,38.6,17.0,21.6,5.43,143.0
1913,7840000,298000,127000,171000,38.0,16.2,21.8,5.42,130.0
1914,8000000,294000,123000,171000,36.7,15.4,21.3,5.16,125.0
1915,8150000,288000,129000,159000,35.3,15.8,19.5,4.94,124.0
1916,8300000,293000,142000,151000,35.3,17.1,18.2,4.90,124.0
1917,8450000,284000,136000,148000,33.6,16.1,17.5,4.64,128.0
1918,8600000,283000,157000,126000,32.9,18.2,14.7,4.51,138.0
1919,8750000,286000,161000,125000,32.7,18.4,14.3,4.45,134.0
1920,8970000,290000,139000,151000,32.3,15.5,16.8,4.40,127.0
1921,9220000,302000,146000,156000,32.8,15.8,17.0,4.47,116.0
1922,9520000,315000,133000,182000,33.1,14.0,19.1,4.55,112.0
1923,9890000,336000,146000,190000,34.0,14.8,19.2,4.74,112.0
1924,10220000,335000,146000,189000,32.8,14.3,18.5,4.61,116.0
1925,10500000,334000,148000,186000,31.8,14.1,17.7,4.49,121.0
1926,10800000,337000,147000,190000,31.2,13.6,17.6,4.42,119.0
1927,11130000,342000,157000,185000,30.7,14.1,16.6,4.38,126.0
1928,11440000,352000,151000,201000,30.8,13.2,17.6,4.40,113.0
1929,11750000,355000,162000,193000,30.2,13.8,16.4,4.33,107.0
1930,12050000,355000,153000,202000,29.5,12.7,16.8,4.22,100.0
1931,12290000,350000,156000,194000,28.5,12.7,15.8,4.07,100.0
1932,12520000,352000,139000,213000,28.1,11.1,17.0,3.99,95.0
1933,12730000,332000,150000,182000,26.1,11.8,14.3,3.67,87.0
1934,12940000,319661,143065,176596,24.7,11.1,13.6,3.45,96.6
1935,13150000,322002,162768,159234,24.5,12.4,12.1,3.39,105.6
1936,13370000,318651,150092,168559,23.8,11.2,12.6,3.28,96.2
1937,13610000,319024,154275,164749,23.4,11.3,12.1,3.20,95.4
1938,14202000,325412,161555,163857,22.9,11.4,11.5,3.19,105.3
1939,14397000,329393,149153,180240,22.9,10.4,12.5,3.14,91.7
1940,14591000,339029,151856,187173,23.2,10.4,12.8,3.18,90.2
1941,14796000,340339,148947,191392,23.0,10.1,12.9,3.11,84.8
1942,15004000,338199,150030,188169,22.5,10.0,12.5,3.03,86.1
