Years,Total fertility rates (children/woman),Crude birth rates,Age 0-14,Age 15-29,Age 30-44,Age 45-59,Age 60-74,Age 75+,Yearly Avg Exchange Rate,USD ($B), % of GDP,% Change,Fertility Rate,Deficit ($M),Deficit (%GDP),Nominal GDP,Argentina,EU,USA,World,USA Yearly Inflation,USA Future Value,Inflation Adjusted GDP,Per Capita Income (USD),% Under US $5.50 Per Day,Change
1980,3.4,24.8,0.304,0.239,0.188,0.151,0.09,0.027999999999999997,1849.3333333333333,0.0,5.062,-5.1429,3.301,-64.0,-0.02,3727.04801015838,343.1,8.58,6.13,8.81,1.0613,0.7403404700705868,2759.2844758163,1882.48,5.5,5.5
1981,3.4,24.8,0.304,0.239,0.188,0.151,0.09,0.027999999999999997,6108.875,0.0,6.921,5.2039,3.253,-64.0,-0.02,3727.04801015838,343.1,8.58,6.13,8.81,1.0613,0.7403404700705868,2759.2844758163,1882.48,0.0,-5.5
1982,3.4,24.8,0.304,0.239,0.188,0.151,0.09,0.027999999999999997,34495.833333333336,0.0,9.0905,3.9466,3.204,-64.0,-0.02,3727.04801015838,343.1,8.58,6.13,8.81,1.0613,0.7403404700705868,2759.2844758163,1882.48,0.0,0.0
1983,3.4,24.8,0.304,0.239,0.188,0.151,0.09,0.027999999999999997,36220.44583333334,10.02,9.1515,2.5826,3.159,-64.0,-0.02,3727.04801015838,343.1,8.58,6.13,8.81,1.0613,0.7403404700705868,2759.2844758163,1882.48,0.0,0.0
1984,3.4,24.8,0.304,0.239,0.188,0.151,0.09,0.027999999999999997,97.32916666666665,8.575714286,7.5899,-2.5915,3.123,-64.0,-0.02,3787.47067903083,626.7,5.2,4.3,7.01,1.043,0.709818283864417,2688.415937576462,1882.48,0.0,0.0
1985,3.4,24.8,0.304,0.239,0.188,0.151,0.09,0.027999999999999997,193.56875,10.37666667,11.7361,15.554,3.095,-64.0,-0.02,2919.28351130562,672.1,7.67,4.3,8.51,1.043,0.6805544428230268,1986.7313634790453,1882.48,0.0,0.0
1986,3.4,24.8,0.304,0.239,0.188,0.151,0.09,0.027999999999999997,1.084666666666667,8.669148936,8.162,-10.2703,3.075,-64.0,-0.02,3454.2963342861,90.1,3.68,1.9,4.96,1.019,0.6678650076771608,2307.0036478171746,1882.48,4.8,4.8
1987,3.4,24.8,0.304,0.239,0.188,0.151,0.09,0.027999999999999997,2.867416666666667,8.58411215,7.8732,-3.482,3.059,-64.0,-0.02,3492.69147434324,131.3,3.36,3.66,6.25,1.0366,0.644284205746827,2250.2859524659484,1882.48,7.6,2.8
1988,3.4,24.8,0.304,0.239,0.188,0.151,0.09,0.027999999999999997,11.261666666666668,12.09828571,9.5316,18.7196,3.042,-64.0,-0.02,4005.20125846019,342.5,4.54,4.08,7.15,1.0408,0.6190278687037154,2479.33119875405,1882.48,0.0,-7.6
1989,3.4,24.8,0.304,0.239,0.188,0.151,0.09,0.027999999999999997,480.16,10.00661407,13.0584,7.4303,3.022,-64.0,-0.02,2382.33586178721,3079.5,5.0,3.08,8.13,1.0308,0.600531498548424,1430.6677251247245,1882.48,0.0,0.0
1990,3.4,24.8,0.304,0.239,0.188,0.151,0.09,0.027999999999999997,5016.25,14.64347995,10.3595,18.0116,3.034,-64.0,-0.02,4330.96819128783,2313.9,6.15,5.4,8.13,1.054,0.5697642301218444,2467.6307571913076,1882.48,0.0,0.0
1991,2.9,21.1,0.306,0.233,0.193,0.139,0.096,0.033,9659.833333333334,14.56109103,7.675,-3.6241,3.012,-64.0,-0.02,5730.72380988423,171.7,84.0,6.02,8.1,1.0602,0.5374120261477499,3079.7598939630366,1882.48,14.3,14.3
